静謐,せいひつ
嬰児,みどりご
袋綴,ふくろとじ
奇瑞,きずい
姥貝,うばがい
駿馬,しゅんめ
慶庵,けいあん
麈尾,しゅび
矜持,きんじ
矜持,きょうじ
巴旦杏,はたんきょう
馬楝,ばれん
箇々人,ここじん
蛸配当,たこはいとう
宿駕篭,しゅくかご
魯魚,ろぎょ
漿液,しょうえき
允許,いんきょ
孟浪,もうろう
遅々,ちち
回祿,かいろく
桂冠,けいかん
真桑瓜,まくわうり
妓楼,ぎろう
朔北,さくほく
垂迹,すいじゃく
焼鏝,やきごて
暗渠排水,あんきょはいすい
廟所,びょうしょ
躯幹,くかん
上腿,じょうたい
釈迦,しゃか
暮靄,ぼあい
屍骸,しがい
曾祖,そうそ
紫檀,したん
貧賎,ひんせん
辻札,つじふだ
痩躯,そうく
三題咄,さんだいばなし
杓文字,しゃもじ
茶々,ちゃちゃ
三巴,みつどもえ
礫土,れきど
昇汞,しょうこう
茅花,つばな
子癇,しかん
法蓮,ほうれん
潅仏,かんぶつ
栄耀栄華,えいようえいが
南京鼠,なんきんねずみ
坐薬,ざやく
群聚,ぐんしゅう
水嵩,みずかさ
茶筅,ちゃせん
湯垢,ゆあか
黄蘗,おうばく
黄蘗,きはだ
場裡,じょうり
丁髷,ちょんまげ
三叉,みつまた
三叉,さんさ
羚羊,かもしか
脛骨,けいこつ
岩燕,いわつばめ
旧套,きゅうとう
湯烟,ゆけむり
佃煮,つくだに
華冑,かちゅう
芥子菜,からしな
花蓆,はなむしろ
皿秤,さらばかり
髷物,まげもの
鶏糞,けいふん
鹹水魚,かんすいぎょ
燕麦,えんばく
粒々辛苦,りゅうりゅうしんく
巷説,こうせつ
膿瘍,のうよう
床几,しょうぎ
檀越,だんおち
常磐津,ときわづ
不逞,ふてい
叛軍,はんぐん
岩漿,がんしょう
蛸坊主,たこぼうず
兇刃,きょうじん
鄭重,ていちょう
腋毛,わきげ
鍬形,くわがた
僭越,せんえつ
梵論,ぼろ
扁舟,へんしゅう
白鼠,しろねずみ
脚榻,きゃたつ
翠色,すいしょく
仇名,あだな
石菖,せきしょう
緋鹿子,ひがのこ
缺陥,けっかん
饑寒,きかん
疝気筋,せんきすじ
才槌頭,さいづちあたま
雨霰,あめあられ
猪武者,いのししむしゃ
木苺,きいちご
掩蓋,えんがい
討匪,とうひ
蝕分,しょくぶん
硼砂,ほうしゃ
神苑,しんえん
俚耳,りじ
智力,ちりょく
淳朴,じゅんぼく
小蔭,こかげ
余禄,よろく
光蘚,ひかりごけ
柳樽,やなぎだる
奸賊,かんぞく
啄木,たくぼく
燗酒,かんざけ
釣篭,つりかご
靖国,やすくに
篦棒,べらぼう
白楊,どろやなぎ
白楊,はくよう
白楊,どろのき
出刃庖丁,でばぼうちょう
誘蛾灯,ゆうがとう
正閏,せいじゅん
宋朝,そうちょう
晒木綿,さらしもめん
覗機関,のぞきからくり
笹竹,ささたけ
阿片,あへん
和姦,わかん
薬莢,やっきょう
海棠,かいどう
山巓,さんてん
頚部,けいぶ
百合鴎,ゆりかもめ
獅噛火鉢,しかみひばち
朋友,ほうゆう
葦原,あしはら
霊柩車,れいきゅうしゃ
虚空蔵菩薩,こくうぞうぼさつ
牡丹餅,ぼたもち
箇々,ここ
高野槙,こうやまき
分水嶺,ぶんすいれい
帰謬法,きびゅうほう
耐蝕,たいしょく
酒粕,さけかす
書牘,しょとく
良禽,りょうきん
忽諸,こっしょ
糸蚯蚓,いとみみず
鎖帷子,くさりかたびら
翠帳紅閨,すいちょうこうけい
附註,ふちゅう
鞘巻,さやまき
面皰,にきび
耳帖,みみちょう
挽肉,ひきにく
細螺,きしゃご
細螺,きさご
鳳仙花,ほうせんか
自家撞着,じかどうちゃく
熱鬧,ねっとう
団栗,どんぐり
炭竃,すみがま
尾鰭,おびれ
垢離,こり
驕兵,きょうへい
勝鬨,かちどき
只事,ただごと
千篇一律,せんぺんいちりつ
吊眼,つりめ
巌冬,げんとう
優諚,ゆうじょう
