静謐,せいひつ
木蔦,きづた
無愛嬌,ぶあいきょう
倭絵,やまとえ
雛節句,ひなのせっく
頻々,ひんぴん
次々,つぎつぎ
歯槽膿漏,しそうのうろう
錨草,いかりそう
綺麗事,きれいごと
出缺,しゅっけつ
竪穴,たてあな
無疵,むきず
食用蛙,しょくようがえる
旧址,きゅうし
秣場,まぐさば
厭性,あきしょう
兇悪,きょうあく
内裏雛,だいりびな
湯桶,ゆとう
鳩時計,はとどけい
白膠木,ぬるで
温灸,おんきゅう
燭光,しょっこう
寛闊,かんかつ
煤色,すすいろ
埴土,へなつち
埴土,しょくど
阿鼻叫喚,あびきょうかん
幔幕,まんまく
摸本,もほん
熨斗,のし
鎌鼬,かまいたち
桧舞台,ひのきぶたい
内々,うちうち
紫綬,しじゅ
小槌,こづち
弓箭,きゅうせん
悠々自適,ゆうゆうじてき
薩摩上布,さつまじょうふ
金盃,きんぱい
唐獅子,からじし
柄杓,ひしゃく
彌次,やじ
山嶺,さんれい
寓言,ぐうげん
愛憐,あいれん
蓮根,れんこん
煉塀,ねりべい
三毬杖,さぎちょう
小蔀,こじとみ
褊狭,へんきょう
迂路,うろ
木阿彌,もくあみ
長篇,ちょうへん
蔦紅葉,つたもみじ
臍緒,ほぞのお
羅紗紙,らしゃがみ
孟冬,もうとう
松葉牡丹,まつばぼたん
割烹,かっぽう
手筈,てはず
姦悪,かんあく
紙屑,かみくず
済々,せいせい
済々,さいさい
烟草,たばこ
六腑,ろっぷ
卜書,とがき
坐骨,ざこつ
誦経,ずきょう
誦経,じゅきょう
腹腔,ふくこう
緊褌,きんこん
牽強,けんきょう
佩剣,はいけん
濡事師,ぬれごとし
百味箪笥,ひゃくみだんす
淡々,たんたん
二酉,にのとり
柏餅,かしわもち
蹄鉄,ていてつ
贋者,にせもの
洛中,らくちゅう
曲学阿世,きょくがくあせい
耳朶,じだ
耳朶,みみたぶ
罫書,けがき
廻船,かいせん
哨舎,しょうしゃ
癩者,らいしゃ
石楠花,しゃくなげ
烏貝,からすがい
翠玉,すいぎょく
暢達,ちょうたつ
花筵,はなむしろ
七々日,しちしちにち
七々日,なななぬか
朔日,さくじつ
肺尖,はいせん
公卿,くげ
公卿,くぎょう
最尤法,さいゆうほう
屠蘇散,とそさん
爵祿,しゃくろく
蝙蝠傘,こうもりがさ
唐茄子,とうなす
煉製品,ねりせいひん
別墅,べっしょ
肋膜炎,ろくまくえん
狂瀾,きょうらん
口々,くちぐち
妓女,ぎじょ
臥牛,がぎゅう
贋首,にせくび
素袍,すおう
僻遠,へきえん
無精髭,ぶしょうひげ
駝鳥,だちょう
笹色,ささいろ
摸式,もしき
苛斂誅求,かれんちゅうきゅう
痳菌,りんきん
磯馴松,そなれまつ
木槿,むくげ
隆々,りゅうりゅう
渉禽類,しょうきんるい
屍体,したい
孔雀,くじゃく
唇歯輔車,しんしほしゃ
古々米,ここまい
蕭条,しょうじょう
雀斑,そばかす
深潭,しんたん
旅寓,りょぐう
便蒙,べんもう
蒼鉛,そうえん
硯池,けんち
萱草,かんぞう
仔犬,こいぬ
田麩,でんぶ
縞織,しまおり
呑舟,どんしゅう
下賎,げせん
原棉,げんめん
常傭,じょうやとい
撞木杖,しゅもくづえ
蝿取草,はえとりぐさ
烏犀角,うさいかく
褄黒横這,つまぐろよこばい
嫡々,ちゃくちゃく
古諺,こげん
潸然,さんぜん
泡沫,ほうまつ
泡沫,うたかた
短檠,たんけい
唐箕,とうみ
糊代,のりしろ
廻流,かいりゅう
廻報,かいほう
胸廓,きょうかく
木菟入,ずくにゅう
金蘭簿,きんらんぼ
金壷,かなつぼ
長汀,ちょうてい
乞巧奠,きこうでん
消壷,けしつぼ
石榴鼻,ざくろばな
偏旁,へんぼう
徒爾,とじ
胡頽子,ぐみ
穢土,えど
天瓜粉,てんかふん
御撰,ぎょせん
美祿,びろく
耆婆扁鵲,ぎばへんじゃく
痔核,じかく
熔鉱炉,ようこうろ
明礬,みょうばん
皐月雨,さつきあめ
髀肉,ひにく
小連翹,おとぎりそう
条々,じょうじょう
浅葱裏,あさぎうら
満々,まんまん
製絨,せいじゅう
嫩葉,どんよう
墨壷,すみつぼ
脊梁,せきりょう
懦夫,だふ
床盃,とこさかずき
長櫃,ながびつ
拇印,ぼいん
俘虜,ふりょ
赤芽柏,あかめがしわ
陰々,いんいん
病褥,びょうじょく
粕漬,かすづけ
胚芽,はいが
庚申待,こうしんまち
獅子鼻,ししばな
粗忽,そこつ
悚然,しょうぜん
皮篭,かわご
刈萱,かるかや
呆気,あっけ
秦皮,とねりこ
鉱滓,こうさい
東夷,とうい
東夷,あずまえびす
釈迦牟尼,しゃかむに
茗荷,みょうが
摺本,すりほん
衛戍,えいじゅ
乾咳,からせき
六韜三略,りくとうさんりゃく
糠油,ぬかあぶら
勃々,ぼつぼつ
牢固,ろうこ
俚語,りご
下浣,げかん
訌争,こうそう
前膊,ぜんはく
酒壷,さかつぼ
手桶,ておけ
娑婆気,しゃばけ
一蓮托生,いちれんたくしょう
意気揚々,いきようよう
飛沫,しぶき
飛沫,ひまつ
吃音,きつおん
笹舟,ささぶね
猪子,いのこ
一旒,いちりゅう
扁額,へんがく
山葡萄,やまぶどう
竹叢,たかむら
筆硯,ひっけん
腫脹,しゅちょう
飛燕,ひえん
溶銑,ようせん
鮨飯,すしめし
白鷺,しらさぎ
銀嶺,ぎんれい
海淵,かいえん
蔓茘枝,つるれいし
陥穽,かんせい
恰幅,かっぷく
八幡,はちまん
燐肥,りんぴ
朧夜,おぼろよ
御籤,みくじ
御籤,おみくじ
猥談,わいだん
祿盗人,ろくぬすびと
洲浜台,すはまだい
箒草,ほうきぐさ
結城縞,ゆうきじま
明智,めいち
馬簾,ばれん
漫々,まんまん
途轍,とてつ
紙衾,かみぶすま
貧乏籤,びんぼうくじ
淋菌,りんきん
寂寞,せきばく
騾馬,らば
大晦,おおつごもり
癈兵,はいへい
管絃楽,かんげんがく
嬌声,きょうせい
裘葛,きゅうかつ
晦日,みそか
叢雲,むらくも
禿山,はげやま
水垢離,みずごり
別嬪,べっぴん
碧瑠璃,へきるり
荻町,おぎまち
光耀,こうよう
深邃,しんすい
真鰈,まがれい
黒鯛,くろだい
紫綬褒章,しじゅほうしょう
賽銭,さいせん
宗太鰹,そうだがつお
小禽,しょうきん
螺旋,らせん
伍長,ごちょう
糠味噌,ぬかみそ
翌桧,あすなろ
狂言綺語,きょうげんきご
炭疽,たんそ
鴫焼,しぎやき
猫糞,ねこばば
八卦,はっけ
諒闇,りょうあん
讚美歌,さんびか
蟒蛇,うわばみ
木鼠,きねずみ
一毫,いちごう
好々爺,こうこうや
布海苔,ふのり
有卦,うけ
挽茶,ひきちゃ
文藝,ぶんげい
鱗形,りんけい
原註,げんちゅう
薩摩琵琶,さつまびわ
花笠,はながさ
城址,じょうし
吾子,あご
売卜,ばいぼく
生麩,しょうふ
生麩,なまふ
姫墻,ひめがき
白癜,しろなまず
鹹味,かんみ
鳩胸,はとむね
叉手網,さであみ
白樫,しらかし
二兎,にと
蝋染,ろうぞめ
椿油,つばきあぶら
私娼,ししょう
詩鈔,ししょう
目蔭,まかげ
羊羹色,ようかんいろ
落雁,らくがん
洒落本,しゃれぼん
白蟻,しろあり
熊笹,くまざさ
糸瓜,へちま
伊呂波歌,いろはうた
人礫,ひとつぶて
胃癌,いがん
吊目,つりめ
万々歳,ばんばんざい
丁々,ちょうちょう
火糞,ほくそ
溜飲,りゅういん
小倅,こせがれ
頚腺,けいせん
疝気,せんき
干戈,かんか
稀書,きしょ
蓑虫,みのむし
劃然,かくぜん
山襞,やまひだ
是々非々,ぜぜひひ
翰林院,かんりんいん
惣菜,そうざい
雲呑,わんたん
一籌,いっちゅう
蝋細工,ろうざいく
舌尖,ぜっせん
鎮咳剤,ちんがいざい
弁慶縞,べんけいじま
高嶺颪,たかねおろし
梃子,てこ
任侠,にんきょう
峻厳,しゅんげん
古祠,こし
掻玉,かきたま
砥草,とくさ
一昨々月,いっさくさくげつ
喘息,ぜんそく
諾々,だくだく
伽羅,きゃら
杉綾,すぎあや
斑鳩,いかる
枕屏風,まくらびょうぶ
胡乱,うろん
仏陀,ぶつだ
仏陀,ぶっだ
葦毛,あしげ
高嶺,たかね
螻蛄首,けらくび
金聾,かなつんぼ
胡麻,ごま
寒蘭,かんらん
花簪,はなかんざし
角兵衛獅子,かくべえじし
区々,くく
肉叢,ししむら
曼荼羅華,まんだらげ
葉蘭,はらん
鵜匠,うしょう
稗史,はいし
楔状,けつじょう
倹飩,けんどん
吾妻下駄,あづまげた
鶉豆,うずらまめ
外舅,がいきゅう
謫所,たくしょ
警邏隊,けいらたい
横綴,よことじ
喇嘛教,らまきょう
殯宮,ひんきゅう
高黍,たかきび
一瓢,いっぴょう
檣頭,しょうとう
皮綴,かわとじ
宋音,そうおん
鰹木,かつおぎ
嶮難,けんなん
宝籤,たからくじ
珊瑚樹,さんごじゅ
乾坤一擲,けんこんいってき
脳漿,のうしょう
流涎,りゅうぜん
衣裳人形,いしょうにんぎょう
拈華微笑,ねんげみしょう
囃子,はやし
杣小屋,そまごや
碧雲,へきうん
涅槃会,ねはんえ
水天彷彿,すいてんほうふつ
枡目,ますめ
窮鼠,きゅうそ
劈頭,へきとう
妖艷,ようえん
屍斑,しはん
熔岩,ようがん
遊廓,ゆうかく
御簾,みす
玉石混淆,ぎょくせきこんこう
臥煙,がえん
眼瞼,がんけん
一臂,いっぴ
嘘字,うそじ
擂粉木,すりこぎ
恬淡,てんたん
大兇,だいきょう
真槍,しんそう
虎狼,ころう
咬創,こうそう
切歯扼腕,せっしやくわん
筵旗,むしろばた
縮緬皺,ちりめんじわ
何首烏,かしゅう
柩車,きゅうしゃ
列伍,れつご
巫祝,ふしゅく
個々,ここ
閏年,うるうどし
障礙,しょうがい
障礙,しょうげ
賽子,さいころ
九鼎大呂,きゅうていたいりょ
花鋏,はなばさみ
饅頭,まんじゅう
榛木,はんのき
荒夷,あらえびす
鯛焼,たいやき
雪袴,ゆきばかま
淋巴液,りんぱえき
金鍔,きんつば
蕃地,ばんち
御諚,ごじょう
艙口,そうこう
更紗,さらさ
日蝕,にっしょく
切箔,きりはく
上巳,じょうし
上巳,じょうみ
蝿地獄,はえじごく
珪肺,けいはい
岨道,そばみち
夏仔,なつご
焼麩,やきふ
燐火,りんか
暗々,あんあん
炒豆,いりまめ
龍笛,りょうてき
龍笛,りゅうてき
捩花,ねじばな
常磐木,ときわぎ
水洟,みずばな
喉頚,のどくび
炭壷,すみつぼ
牢番,ろうばん
木叢,こむら
街娼,がいしょう
内苑,ないえん
皇祚,こうそ
淳良,じゅんりょう
五臓六腑,ごぞうろっぷ
生姜,しょうが
創痍,そうい
残滓,ざんし
残滓,ざんさい
登遐,とうか
吊橋,つりばし
発癌,はつがん
野禽,やきん
卯月,うづき
庵室,あんしつ
敷蒲団,しきぶとん
倭人,わじん
立錐,りっすい
旅烏,たびがらす
平椀,ひらわん
教鞭,きょうべん
螺子釘,ねじくぎ
山毛欅,ぶな
縞蛇,しまへび
姦臣,かんしん
海鼠板,なまこいた
焙炉,ほいろ
胚乳,はいにゅう
哨兵,しょうへい
甘栗,あまぐり
早月躑躅,さつきつつじ
水疱,すいほう
客寓,かくぐう
蒸溜酒,じょうりゅうしゅ
梯子段,はしごだん
尺牘,せきとく
石槨,せっかく
藁屋,わらや
味噌歯,みそっぱ
木犀,もくせい
形而上,けいじじょう
薮蚊,やぶか
掛蒲団,かけぶとん
船檣,せんしょう
鴇色,ときいろ
下疳,げかん
沙彌,しゃみ
夾雑,きょうざつ
蕃族,ばんぞく
隆昌,りゅうしょう
繻珍,しちん
繻珍,しゅちん
伎癢,ぎよう
空籤,からくじ
賜餐,しさん
餃子,ぎょうざ
豌豆,えんどう
軽佻,けいちょう
如簾,じょれん
小・中学校,しょうちゅうがっこう
川獺,かわうそ
百磯城,ももしき
絛虫,さなだむし
絛虫,じょうちゅう
追儺,おにやらい
糞便,ふんべん
和光同塵,わこうどうじん
喬木,きょうぼく
尖塔,せんとう
跼天蹐地,きょくてんせきち
力瘤,ちからこぶ
屠場,とじょう
間歇熱,かんけつねつ
釣竿,つりざお
胡同,ふ゜とん
瓦斯灯,がすとう
姥桜,うばざくら
牡丹桜,ぼたんざくら
酢蛸,すだこ
鮨詰,すしづめ
連銭葦毛,れんぜんあしげ
臘八,ろうはち
雄蝶雌蝶,おちょうめちょう
田龜,たがめ
意嚮,いこう
蛔虫,かいちゅう
庭石菖,にわぜきしょう
顔馴染,かおなじみ
水棲,すいせい
苔桃,こけもも
気息奄々,きそくえんえん
金鋏,かなばさみ
舷梯,げんてい
警蹕,けいひつ
御酉様,おとりさま
青黛,せいたい
蝦夷菊,えぞぎく
急湍,きゅうたん
糞尿,ふんにょう
木々,きぎ
埴輪,はにわ
五郎八茶碗,ごろはちぢゃわん
絨毛,じゅうもう
燕尾服,えんびふく
紅蓮,ぐれん
私娼窟,ししょうくつ
真鰯,まいわし
天秤,てんびん
戦塵,せんじん
裏衿,うらえり
向日葵,ひまわり
骨壷,こつつぼ
佳肴,かこう
瀉剤,しゃざい
木屑,きくず
碾臼,ひきうす
猥本,わいほん
彌生,やよい
翩翻,へんぽん
絽織,ろおり
茸狩,たけがり
脚絆,きゃはん
狡知,こうち
（財）,ざいだんほうじん
智将,ちしょう
盛蕎麦,もりそば
伽羅木,きゃらぼく
讃歌,さんか
白餡,しろあん
殷鑑,いんかん
螺子切,ねじきり
箴言,しんげん
無碍,むげ
張三李四,ちょうさんりし
紺綬,こんじゅ
筆鋒,ひっぽう
絃歌,げんか
朝靄,あさもや
摺足,すりあし
梟悪,きょうあく
酒肴,さけさかな
酒肴,しゅこう
焼肴,やきざかな
人智,じんち
恐々,きょうきょう
補註,ほちゅう
岩茸,いわたけ
石斛,せっこく
白玉椿,しらたまつばき
暗澹,あんたん
雁書,がんしょ
天佑,てんゆう
瑣事,さじ
桜蝦,さくらえび
潮汐,ちょうせき
炬火,きょか
杜漏,ずろう
栗名月,くりめいげつ
累々,るいるい
吃水,きっすい
浅蜊,あさり
呉絽服連,ごろふくれん
ＣＧＳ単位,し゜じ゜えすたんい
微塵子,みじんこ
哀憐,あいれん
両棲類,りょうせいるい
沢庵,たくあん
禁裡,きんり
楔状文字,けつじょうもんじ
両天秤,りょうてんびん
俚言,りげん
巷談俗説,こうだんぞくせつ
鴨脚髷,いちょうまげ
自在鉤,じざいかぎ
菩薩道,ぼさつどう
沈毅,ちんき
蓮華草,れんげそう
畸型,きけい
世智,せち
暗渠,あんきょ
余裕綽綽,よゆうしゃくしゃく
空也念仏,くうやねんぶつ
狸囃子,たぬきばやし
草葺,くさぶき
鬢長,びんなが
糞虫,くそむし
飛礫,つぶて
赤錆,あかさび
馬銜,はみ
砂嘴,さし
爬虫類,はちゅうるい
撥音便,はつおんびん
廻覧,かいらん
寵臣,ちょうしん
画竜点睛,がりょうてんせい
徴憑,ちょうひょう
様々,さまざま
蘇鉄,そてつ
啓蟄,けいちつ
躁病,そうびょう
忌辰,きしん
紅髯,こうぜん
辺鄙,へんぴ
翰林,かんりん
匈奴,きょうど
棟梁,とうりょう
艷美,えんび
黄昏,たそがれ
偸安,とうあん
烏金,からすがね
猿曳,さるひき
俯仰,ふぎょう
桐油,とうゆ
微恙,びよう
辮髪,べんぱつ
朝霞,あさがすみ
川淀,かわよど
彗星,すいせい
茜色,あかねいろ
啄木鳥,きつつき
啄木鳥,けらつつき
啄木鳥,けら
幇間,ほうかん
同朋,どうほう
花魁,おいらん
硼酸,ほうさん
嶮所,けんしょ
晦渋,かいじゅう
南無阿弥陀仏,なむあみだぶつ
佳什,かじゅう
撤饌,てっせん
烏合,うごう
童蒙,どうもう
蒼然,そうぜん
梵文,ぼんぶん
破篭,わりご
赤行嚢,あかこうのう
真只中,まっただなか
吉辰,きっしん
徽章,きしょう
松蘿,さるおがせ
僧庵,そうあん
万々一,まんまんいち
追剥,おいはぎ
牽強付会,けんきょうふかい
抒情詩,じょじょうし
鱈場蟹,たらばがに
牛蛙,うしがえる
綾町,あやちょう
鹹水,かんすい
野狐禅,やこぜん
元兇,げんきょう
鬼蜘蛛,おにぐも
苔清水,こけしみず
櫛風沐雨,しっぷうもくう
塵取,ちりとり
掉尾,ちょうび
掉尾,とうび
俚謡,りよう
花崗岩,かこうがん
讚辞,さんじ
清穆,せいぼく
碍子,がいし
宿禰,すくね
兇変,きょうへん
卓袱屋,ちゃぶや
微醺,びくん
駄法螺,だぼら
曳船,えいせん
曳船,ひきふね
龜虫,かめむし
歩哨,ほしょう
手箒,てぼうき
如鱗木,じょりんもく
西諺,せいげん
晦冥,かいめい
陰翳,いんえい
縉紳,しんしん
釈迦如来,しゃかにょらい
甲斐,かい
呑兵衛,のんべえ
倭名,わみょう
篭球,ろうきゅう
豁然,かつぜん
翌々日,よくよくじつ
割栗,わりぐり
遼遠,りょうえん
輦台,れんだい
旗竿,はたざお
笹原,ささはら
好好爺,こうこうや
水垢,みずあか
壷金,つぼがね
鷹匠,たかじょう
前膊骨,ぜんはくこつ
雛人形,ひなにんぎょう
打出小槌,うちでのこづち
晩餐,ばんさん
山鉾巡行,やまぼこじゅんこう
掌篇,しょうへん
銘々,めいめい
智略,ちりゃく
泥鰌髭,どじょうひげ
讒臣,ざんしん
厭人,えんじん
宗廟,そうびょう
黒貂,くろてん
残燭,ざんしょく
輻射熱,ふくしゃねつ
布帛,ふはく
紐革,ひもかわ
鶏姦,けいかん
姑娘,く゜にゃん
碩徳,せきとく
尊翰,そんかん
地鼠,じねずみ
轟音,ごうおん
虎視眈々,こしたんたん
肉襦袢,にくじばん
人斬庖丁,ひときりぼうちょう
雲煙縹緲,うんえんひょうびょう
癇癖,かんぺき
跨線橋,こせんきょう
鼻糞,はなくそ
図嚢,ずのう
大薩摩,おおざつま
高邁,こうまい
印半纏,しるしばんてん
翌々月,よくよくげつ
斯学,しがく
肌襦袢,はだじばん
湯熨,ゆのし
素襖,すおう
頓証菩提,とんしょうぼだい
魚鱗,ぎょりん
蕭然,しょうぜん
粗砥,あらと
捏取,こねどり
石蓴,あおさ
賎業,せんぎょう
取舵,とりかじ
百尺竿頭,ひゃくしゃくかんとう
胡麻塩,ごましお
水蘚,みずごけ
濡場,ぬれば
蒼空,そうくう
片鱗,へんりん
手毬,てまり
一本槍,いっぽんやり
巍然,ぎぜん
諸彦,しょげん
肚裏,とり
承知之助,しょうちのすけ
蓄妾,ちくしょう
木醂,きざわし
真鯉,まごい
沫雪,あわゆき
魚梯,ぎょてい
牛蒡,ごぼう
胡麻油,ごまあぶら
雄勁,ゆうけい
肋骨,ろっこつ
肋骨,あばらぼね
隅々,すみずみ
吾木香,われもこう
雲烟過眼,うんえんかがん
半搗,はんつき
籾殻,もみがら
個々人,ここじん
小癪,こしゃく
殷盛,いんせい
君子蘭,くんしらん
束脩,そくしゅう
草臥儲,くたびれもうけ
奇々怪々,ききかいかい
鴨脚形,いちょうがた
大鉈,おおなた
頚骨,けいこつ
躙口,にじりぐち
祝捷,しゅくしょう
斗掻,とかき
衣笠,きぬがさ
連翹,れんぎょう
野袴,のばかま
綺麗所,きれいどころ
藁紙,わらがみ
柳行李,やなぎごうり
粕汁,かすじる
金柑,きんかん
贅六,ぜいろく
足袋跣,たびはだし
拗音,ようおん
死屍,しし
寸莎,すさ
梯子,はしご
会舘,かいかん
嬶天下,かかあでんか
穴痔,あなじ
金蔓,かねづる
僻事,ひがごと
縞目,しまめ
尖頂,せんちょう
乾癬,かんせん
高庇,こうひ
烏麦,からすむぎ
蕎麦滓,そばかす
工廠,こうしょう
嘗味噌,なめみそ
唐黍,もろこし
唐黍,とうきび
国訛,くになまり
頚筋,くびすじ
座胼胝,すわりだこ
櫓太鼓,やぐらだいこ
逆叉,さかまた
罫紙,けいし
火消壷,ひけしつぼ
尖鋭,せんえい
目笊,めざる
碧玉,へきぎょく
気侭,きまま
瞽女,ごぜ
珪酸,けいさん
磊落,らいらく
背嚢,はいのう
驍名,ぎょうめい
干鱈,ひだら
熬海鼠,いりこ
雪庇,せっぴ
蛸入道,たこにゅうどう
男娼,だんしょう
家蝿,いえばえ
牡丹雪,ぼたんゆき
石摺,いしずり
蒼鉛剤,そうえんざい
休錘,きゅうすい
痳病,りんびょう
偏衫,へんさん
衒気,げんき
囃子詞,はやしことば
八卦見,はっけみ
狛犬,こまいぬ
御神輿,おみこし
五位鷺,ごいさぎ
緇素,しそ
湯壷,ゆつぼ
竜攘虎搏,りゅうじょうこはく
要黐,かなめもち
梯子酒,はしござけ
柳絮,りゅうじょ
仏手柑,ぶしゅかん
中浣,ちゅうかん
茶碗,ちゃわん
厭離,えんり
煉乳,れんにゅう
虚々実々,きょきょじつじつ
丞相,じょうしょう
寒椿,かんつばき
叡聞,えいぶん
純乎,じゅんこ
廟堂,びょうどう
坐作,ざさ
大祓,おおはらい
花魁草,おいらんそう
草鞋,わらじ
炯眼,けいがん
菱餅,ひしもち
不倶載天,ふぐたいてん
洛外,らくがい
洲浜,すはま
胡粉,ごふん
股肱,ここう
已上,いじょう
段々,だんだん
赭土,しゃど
毎々,まいまい
筍医者,たけのこいしゃ
伊万里焼,いまりやき
糠袋,ぬかぶくろ
嘗物,なめもの
慳貪,けんどん
外苑,がいえん
篠竹,しのだけ
歯屎,はくそ
論鋒,ろんぽう
犬蓼,いぬたで
山苞,やまづと
奸策,かんさく
浩然,こうぜん
贓物,ぞうぶつ
金釘流,かなくぎりゅう
値嵩株,ねがさかぶ
拇指,ぼし
奇々妙々,ききみょうみょう
吾亦紅,われもこう
戛然,かつぜん
腰屏風,こしびょうぶ
Ｚ旗,ぜっとき
紅雀,べにすずめ
元祿模様,げんろくもよう
鞍点,あんてん
黄綬,おうじゅ
菩提寺,ぼだいじ
膿胸,のうきょう
牡丹杏,ぼたんきょう
忿怒,ふんぬ
轆轤首,ろくろくび
晒首,さらしくび
閏月,じゅんげつ
腓骨,ひこつ
殻竿,からざお
舌苔,ぜったい
蓖麻子油,ひましゆ
中・高生,ちゅうこうせい
熟鮨,なれずし
脆性,ぜいせい
和冦,わこう
虎鶫,とらつぐみ
確乎,かっこ
劫火,ごうか
八幡宮,はちまんぐう
湯呑,ゆのみ
蛇苺,へびいちご
野鄙,やひ
急霰,きゅうさん
妓生,こしょう
妓生,きいさん
神智,しんち
瑞宝章,ずいほうしょう
国衙,こくが
若鮎,わかあゆ
早桶,はやおけ
半纏,はんてん
小鴨,こがも
御祓,おはらい
奸悪,かんあく
焚刑,ふんけい
蝸牛角上,かぎゅうかくじょう
蘭学,らんがく
雄蕊,おしべ
蒟蒻玉,こんにゃくだま
愚禿,ぐとく
篇首,へんしゅ
弘道,こうどう
某々,ぼうぼう
鎧板,よろいいた
竹柏,なぎ
硯滴,けんてき
朋輩,ほうばい
土地々々,とちとち
孩児,がいじ
檀那芸,だんなげい
雛形,ひながた
錦鯉,にしきごい
画帖,がじょう
悲歌慷慨,ひかこうがい
梵唄,ぼんばい
旅篭屋,はたごや
拳々,けんけん
野薔薇,のばら
敝衣破帽,へいいはぼう
糠星,ぬかぼし
老躯,ろうく
紋紗,もんしゃ
葉牡丹,はぼたん
剃刀,かみそり
気魄,きはく
黎明,れいめい
輜重,しちょう
庫裡,くり
事々物々,じじぶつぶつ
鼠毒症,そどくしょう
封蝋,ふうろう
鏑矢,かぶらや
本籤,ほんくじ
鴻儒,こうじゅ
鰐足,わにあし
睾丸,こうがん
燭台,しょくだい
蓮華,れんげ
ＭＫＳＡ単位系,えむけいえすえいたんいけい
沈々,ちんちん
獅子王,ししおう
蕃人,ばんじん
巫女,みこ
巫女,ふじょ
讚歌,さんか
小楊枝,こようじ
気嚢,きのう
真鍮,しんちゅう
根芹,ねぜり
汐先,しおさき
黄櫨漆,はぜうるし
柴犬,しばいぬ
金槌頭,かなづちあたま
開衿,かいきん
手桎,てかせ
塗篭,ぬりごめ
菎蒻玉,こんにゃくだま
繁文縟礼,はんぶんじょくれい
心々,こころごころ
聯句,れんく
木菟,みみずく
豎子,じゅし
羽蟻,はあり
燐灰土,りんかいど
旗幟,きし
瘡毒,そうどく
代赭,たいしゃ
宏壮,こうそう
竹簀,たけす
魚滓,うおかす
銅戈,どうか
手毬花,てまりばな
南瓜,かぼちゃ
弓篭手,ゆごて
円坐,えんざ
狼火,ろうか
舞妓,まいこ
舞妓,ぶぎ
鰐口,わにぐち
尊攘,そんじょう
廻天,かいてん
苫屋,とまや
炸薬,さくやく
棘皮動物,きょくひどうぶつ
強靱,きょうじん
糠雨,ぬかあめ
不埒,ふらち
船艙,せんそう
半々,はんはん
碩儒,せきじゅ
饌米,せんまい
水疱瘡,みずぼうそう
旌旗,せいき
病躯,びょうく
草箒,くさぼうき
狗尾草,えのころぐさ
臍茶,へそちゃ
手疵,てきず
銀杏,いちょう
銀杏,ぎんなん
絹緞,けんどん
鱗毛,りんもう
惨澹,さんたん
碾茶,ひきちゃ
辻説法,つじせっぽう
癇症,かんしょう
汗疹,あせも
曾祖父,そうそふ
曾祖父,ひいじじ
戦々恐々,せんせんきょうきょう
竪琴,たてごと
笹身,ささみ
冲天,ちゅうてん
凍瘡,とうそう
白几帳面,しらきちょうめん
言々句々,げんげんくく
庄園,しょうえん
欣然,きんぜん
暗々裏,あんあんり
杉蘚,すぎごけ
常套,じょうとう
莫大小,めりやす
姦商,かんしょう
繚乱,りょうらん
藩屏,はんぺい
厭戦,えんせん
昵懇,じっこん
団々,だんだん
綾地,あやじ
缺漏,けつろう
篭手,こて
並々,なみなみ
先蹤,せんしょう
辛味噌,からみそ
下剋上,げこくじょう
臀部,でんぶ
垂涎,すいえん
諡号,しごう
常套句,じょうとうく
伊達,だて
綺談,きだん
虫螻,むしけら
笹屋,ささや
筆蹟,ひっせき
禁裡様,きんりさま
椰子,やし
兇弾,きょうだん
脾肉,ひにく
懦弱,だじゃく
蝉時雨,せみしぐれ
柑橘類,かんきつるい
太藺,ふとい
流鏑馬,やぶさめ
毛黴,けかび
槍玉,やりだま
鍬下,くわした
疼痛,とうつう
皐月闇,さつきやみ
初酉,はつとり
呑助,のみすけ
弘法,こうぼう
橋杙,はしぐい
光琳蒔絵,こうりんまきえ
風蘭,ふうらん
五蘊,ごうん
恰好,かっこう
全豹,ぜんぴょう
手蔓,てづる
芥子粒,けしつぶ
山窩,さんか
胆嚢,たんのう
繋累,けいるい
三絃,さんげん
金屑,かなくず
尖兵,せんぺい
官衙,かんが
魚篭,びく
擂鉢,すりばち
手蹟,しゅせき
硅石,けいせき
余燼,よじん
白蓮,びゃくれん
銭苔,ぜにごけ
賓頭盧,びんずる
光芒,こうぼう
髭題目,ひげだいもく
播肥,まきごえ
終焉,しゅうえん
馬橇,ばそり
断乎,だんこ
杯盤狼藉,はいばんろうぜき
男妾,だんしょう
泥濘,でいねい
泥濘,ぬかるみ
琉金,りゅうきん
臘梅,ろうばい
虎杖,いたどり
帚星,ほうきぼし
虚心坦懐,きょしんたんかい
胸紐,むなひも
鬱蒼,うっそう
灯篭,とうろう
西戎,せいじゅう
越中褌,えっちゅうふんどし
厚誼,こうぎ
稀塩酸,きえんさん
熟蕃,じゅくばん
金盥,かなだらい
鞘当,さやあて
微塵粉,みじんこ
糞土,ふんど
要訣,ようけつ
血痰,けったん
兵器廠,へいきしょう
水浅葱,みずあさぎ
内訌,ないこう
書翰,しょかん
阿堵物,あとぶつ
悵然,ちょうぜん
濡縁,ぬれえん
嗜虐,しぎゃく
囃子物,はやしもの
銘々皿,めいめいざら
淋巴腺,りんぱせん
溝渠,こうきょ
倶梨伽羅紋紋,くりからもんもん
元禄,げんろく
沢蟹,さわがに
略綬,りゃくじゅ
雅鰤,わらさ
蘭塔,らんとう
喘鳴,ぜんめい
木盃,もくはい
